!PV&!priorCapture&!ss->inCheck Diff #1000: Total 1580129/1525613 Hits 1290626/1222214 Diff Rate (%) -1.56554
!PV&!ttCapture&!priorCapture Diff #1000: Total 1576349/1521253 Hits 1289265/1220235 Diff Rate (%) -1.57555
!PV&improving&!capture Diff #1100: Total 1346009/1304725 Hits 1078377/1024621 Diff Rate (%) -1.58506
!PV&!improving&!capture Diff #1000: Total 393227/371474 Hits 337883/313276 Diff Rate (%) -1.59246
!PV&!capture Diff #1050: Total 1739236/1676199 Hits 1416260/1337897 Diff Rate (%) -1.61269
!PV&!givesCheck Diff #1050: Total 1688050/1622485 Hits 1388638/1308488 Diff Rate (%) -1.61569
!PV&!priorCapture&!capture Diff #1000: Total 1551555/1495405 Hits 1263562/1193572 Diff Rate (%) -1.62246
!PV&!ttCapture&!capture Diff #1000: Total 1638051/1580024 Hits 1331035/1258145 Diff Rate (%) -1.62902
!PV&!ss->inCheck&!capture Diff #1000: Total 1636772/1579052 Hits 1327549/1254961 Diff Rate (%) -1.63216
!PV&!ss->inCheck&!givesCheck Diff #1000: Total 1578678/1518595 Hits 1293376/1219239 Diff Rate (%) -1.64049
capture&allNode Diff #1100: Total 61883/59960 Hits 56800/54050 Diff Rate (%) -1.64268
!PV&!ttCapture&!givesCheck Diff #1000: Total 1573278/1513522 Hits 1291232/1217307 Diff Rate (%) -1.64396
!PV&(ss+1)->cutoffCnt>2&!improving Diff #1100: Total 62695/59300 Hits 46399/42909 Diff Rate (%) -1.64831
!PV&!priorCapture&!givesCheck Diff #1000: Total 1469447/1411663 Hits 1204149/1133400 Diff Rate (%) -1.65744
!PV&!givesCheck&improving Diff #1010: Total 1260505/1217494 Hits 1015356/960378 Diff Rate (%) -1.66999
!PV&(ss+1)->cutoffCnt>2&!priorCapture Diff #1100: Total 445484/431844 Hits 319341/302255 Diff Rate (%) -1.69235
!PV&(ss+1)->cutoffCnt>2&!ss->inCheck Diff #1100: Total 463091/448451 Hits 329890/311850 Diff Rate (%) -1.69717
!PV&(ss+1)->cutoffCnt>2&improving Diff #1110: Total 410752/399148 Hits 291332/276315 Diff Rate (%) -1.70029
(ss+1)->cutoffCnt>2 Diff #1150: Total 473447/458448 Hits 337731/319224 Diff Rate (%) -1.70304
!PV&(ss+1)->cutoffCnt>2&!capture Diff #1100: Total 442677/428888 Hits 313174/296050 Diff Rate (%) -1.71814
!PV&!givesCheck&!capture Diff #1000: Total 1506965/1445391 Hits 1226101/1150769 Diff Rate (%) -1.74582
!PV&!ttCapture&(ss+1)->cutoffCnt>2 Diff #1010: Total 430001/416724 Hits 303193/286368 Diff Rate (%) -1.79097
!PV&(ss+1)->cutoffCnt>2&!givesCheck Diff #1100: Total 427195/411977 Hits 303693/285384 Diff Rate (%) -1.81819
ss->inCheck&allNode Diff #1100: Total 42721/41231 Hits 37028/34934 Diff Rate (%) -1.94649
!PV&(ss+1)->cutoffCnt>2&ss->inCheck Diff #1110: Total 10356/9997 Hits 7841/7374 Diff Rate (%) -1.95243
!PV&(ss+1)->cutoffCnt>2&priorCapture Diff #1110: Total 27963/26604 Hits 18390/16969 Diff Rate (%) -1.98183
givesCheck&allNode Diff #1100: Total 69430/69224 Hits 58989/57299 Diff Rate (%) -2.18852
!improving&allNode Diff #1000: Total 236891/224047 Hits 205698/188746 Diff Rate (%) -2.58841
priorCapture&allNode Diff #1100: Total 92229/88430 Hits 81220/75569 Diff Rate (%) -2.60711
!(ss+1)->cutoffCnt>2&allNode Diff #1000: Total 462903/440373 Hits 408340/375167 Diff Rate (%) -3.01986
!ttCapture&allNode Diff #1000: Total 533781/506499 Hits 452651/412734 Diff Rate (%) -3.31326
allNode Diff #1050: Total 549190/520722 Hits 466243/424771 Diff Rate (%) -3.32301
!ss->inCheck&allNode Diff #1000: Total 506469/479491 Hits 429215/389837 Diff Rate (%) -3.44429
!priorCapture&allNode Diff #1000: Total 456961/432292 Hits 385023/349202 Diff Rate (%) -3.4781
!givesCheck&allNode Diff #1000: Total 479760/451498 Hits 407254/367472 Diff Rate (%) -3.49752
!capture&allNode Diff #1000: Total 487307/460762 Hits 409443/370721 Diff Rate (%) -3.56333
ttCapture&allNode Diff #1100: Total 15409/14223 Hits 13592/12037 Diff Rate (%) -3.57766
improving&allNode Diff #1100: Total 312299/296675 Hits 260545/236025 Diff Rate (%) -3.87131
(ss+1)->cutoffCnt>2&allNode Diff #1100: Total 86287/80349 Hits 57903/49604 Diff Rate (%) -5.36945
